jhostname,ip,mac,sistema_operativo,ram_gb,departamento,rol
SRV-GTJ-0025,172.31.188.219,58:14:20:14:05:1E,Ubuntu 22.04 LTS,2,Finanzas,Proxy
SRV-YXB-0026,10.134.80.43,6E:7F:7E:2D:BE:52,Ubuntu 22.04 LTS,8,Marketing,Proxy
SRV-MWC-0027,10.180.233.196,1C:A2:B4:E6:53:4B,Windows Server 2022,16,Dirección,Web Server
SRV-TQA-0028,172.16.66.55,34:5A:74:5F:4B:C1,Ubuntu 20.04 LTS,2,RRHH,Mail Server
SRV-TVR-0029,192.168.231.156,7C:5F:B2:09:D7:43,Red Hat 8,4,IT,Mail Server
SRV-GEK-0030,10.100.97.241,4A:4D:A3:96:23:D7,Red Hat 8,8,Operaciones,Proxy
SRV-CMK-0031,192.168.112.194,C6:00:68:26:89:B2,Ubuntu 22.04 LTS,64,IT,Backup
SRV-WFE-0032,192.168.66.219,A4:0B:2C:F2:33:33,Ubuntu 20.04 LTS,2,Dirección,Web Server
SRV-JOM-0033,172.19.143.177,30:3B:E3:E1:68:94,Red Hat 8,32,Logística,Backup
SRV-JMJ-0034,172.21.227.251,74:2F:CF:39:37:2C,CentOS 7,8,Marketing,DNS
SRV-RFN-0035,172.20.241.205,BA:6B:F8:9E:51:A9,Ubuntu 22.04 LTS,8,IT,Mail Server
SRV-EXH-0036,10.41.209.64,54:B6:09:8E:B8:B8,Red Hat 8,32,RRHH,DB Server
SRV-KRY-0037,192.168.47.228,38:61:F3:B1:66:36,Debian 11,2,Dirección,Mail Server
SRV-HJV-0038,10.5.139.217,6E:B3:58:FD:F4:A9,Debian 11,32,Marketing,Mail Server
SRV-CTN-0039,10.140.217.212,AA:62:C9:EE:5B:01,Ubuntu 22.04 LTS,64,Logística,Proxy
SRV-GRW-0040,10.92.213.104,E2:EC:E9:20:4E:B6,Windows Server 2019,4,Logística,DB Server
SRV-YTK-0041,172.28.125.242,8A:78:5D:B8:83:E3,Windows Server 2019,2,Marketing,DNS
SRV-ZIJ-0042,192.168.250.63,84:F5:C6:0B:70:73,Ubuntu 22.04 LTS,2,IT,DNS
SRV-WKX-0043,192.168.210.170,5E:29:88:AB:9C:E2,Ubuntu 22.04 LTS,8,Operaciones,DNS
SRV-RAR-0044,10.98.99.20,1A:A5:78:20:BA:42,Ubuntu 22.04 LTS,16,RRHH,Backup
SRV-EDL-0045,192.168.215.22,8C:B2:2C:30:BE:C8,Ubuntu 22.04 LTS,32,Logística,Web Server
SRV-SER-0046,172.19.70.248,D0:C1:0F:71:37:8F,Debian 11,16,Finanzas,Backup
SRV-IOE-0047,192.168.77.224,24:04:6D:27:E9:45,Ubuntu 22.04 LTS,2,Marketing,DB Server
SRV-OCY-0048,172.16.25.88,30:88:DB:16:E0:79,Debian 11,8,Finanzas,Web Server
SRV-FSA-0049,172.26.18.54,AA:6D:01:66:D3:3C,Windows Server 2019,8,RRHH,File Server
SRV-IAU-0050,192.168.89.77,B2:85:45:59:13:4C,Debian 11,8,Marketing,Backup
SRV-GBI-0051,10.189.134.149,D2:F5:CA:93:FD:8C,Ubuntu 22.04 LTS,64,Marketing,Backup
SRV-PLI-0052,10.176.139.233,7E:C5:AF:9D:95:82,CentOS 7,32,IT,Mail Server
SRV-EFE-0053,172.29.102.230,5C:ED:C5:2E:3A:CF,Ubuntu 20.04 LTS,16,Finanzas,Web Server
SRV-XCW-0054,172.25.79.41,B0:04:6E:83:63:7A,Debian 11,8,Finanzas,DB Server
SRV-AIO-0055,172.31.77.89,E8:9E:5E:40:08:21,Ubuntu 20.04 LTS,8,IT,Web Server
SRV-QSS-0056,192.168.34.29,94:A8:00:E0:6E:4F,Ubuntu 20.04 LTS,4,Marketing,DB Server
SRV-ZND-0057,192.168.164.255,E0:5E:BD:26:94:8D,Red Hat 8,64,Logística,Backup
SRV-ZTS-0058,10.3.109.90,5C:A1:65:86:39:E5,Windows Server 2019,4,Operaciones,Mail Server
SRV-VFT-0059,172.29.103.156,74:94:16:1A:49:02,Windows Server 2019,8,Dirección,Web Server
SRV-DQW-0060,172.20.174.17,64:19:38:DD:F3:09,CentOS 7,2,Operaciones,DNS
SRV-CQY-0061,192.168.182.57,76:EA:CF:C4:46:21,CentOS 7,2,Logística,File Server
SRV-MUB-0062,10.211.237.93,E4:62:47:B6:D4:FA,Windows Server 2019,64,RRHH,Backup
SRV-LXG-0063,10.61.110.63,9C:63:1F:61:5D:20,Windows Server 2019,2,IT,Mail Server
SRV-IOJ-0064,10.14.18.1,80:8D:AD:D2:7E:79,Ubuntu 20.04 LTS,64,RRHH,File Server
SRV-KON-0065,172.31.184.199,C4:FA:75:B2:15:A1,Windows Server 2019,16,Operaciones,File Server
SRV-GZX-0066,172.25.63.245,B4:27:0D:A2:10:13,Ubuntu 20.04 LTS,4,Operaciones,Backup
SRV-KAO-0067,172.22.190.2,EE:46:ED:FC:B3:CA,Windows Server 2019,8,IT,Proxy
SRV-QRN-0068,172.25.117.182,1E:D7:6F:9C:ED:2E,Ubuntu 20.04 LTS,32,IT,DB Server
SRV-KSH-0069,172.30.196.170,F8:A8:46:29:A4:C3,Windows Server 2019,64,Marketing,Backup
SRV-DFJ-0070,192.168.16.183,8E:E5:02:3E:08:C6,CentOS 7,64,RRHH,Mail Server
SRV-ABZ-0071,192.168.12.212,9C:51:1B:A1:17:4D,Debian 11,2,Dirección,DNS
SRV-OTL-0072,192.168.237.159,C4:E3:ED:AC:EF:21,CentOS 7,8,RRHH,File Server
SRV-WYB-0073,10.77.87.126,60:36:DD:FA:B7:ED,Ubuntu 20.04 LTS,8,Dirección,File Server
SRV-DSJ-0074,10.1.253.166,60:E2:04:70:09:93,Ubuntu 20.04 LTS,4,Operaciones,DNS
SRV-AFK-0075,172.17.175.27,42:8C:EE:C5:1E:83,Ubuntu 20.04 LTS,2,Dirección,Backup
SRV-HTL-0076,172.17.88.213,9A:C7:A7:A6:D3:4A,Windows Server 2019,32,Finanzas,Proxy
SRV-UCD-0077,192.168.5.182,B6:E8:6E:DD:4E:DF,CentOS 7,16,Finanzas,DNS
SRV-FEA-0078,172.22.73.229,14:5D:2E:1E:97:69,Ubuntu 20.04 LTS,8,Operaciones,DB Server
SRV-AOS-0079,10.102.191.100,5C:C4:39:07:D3:F8,Debian 11,4,Marketing,File Server
SRV-TAR-0080,10.222.249.214,6E:3A:15:B1:1A:C9,Ubuntu 20.04 LTS,64,Operaciones,Proxy
SRV-DGM-0081,172.18.14.8,3E:FC:64:78:AC:DD,Ubuntu 22.04 LTS,4,Dirección,DNS
SRV-DXP-0082,172.18.141.54,C2:08:46:A8:23:C5,Windows Server 2019,16,IT,File Server
SRV-YXP-0083,172.17.73.192,C8:60:E8:09:CC:1C,Ubuntu 22.04 LTS,2,IT,Web Server
SRV-GCT-0084,10.139.174.112,B2:9C:31:B5:C5:0F,Windows Server 2022,8,Finanzas,DNS
SRV-VQW-0085,172.28.138.66,0E:C4:96:D6:DA:D2,Ubuntu 20.04 LTS,2,Dirección,Proxy
SRV-ETC-0086,10.203.174.50,A6:40:2A:D9:E9:8E,Windows Server 2019,64,Dirección,Web Server
SRV-GEC-0087,10.72.102.129,34:0F:A1:C0:4B:2C,Ubuntu 22.04 LTS,16,Operaciones,File Server
SRV-JPH-0088,10.139.202.214,9A:ED:2F:60:39:25,CentOS 7,32,Dirección,Mail Server
SRV-SVF-0089,172.31.86.131,BA:6F:02:21:81:82,Windows Server 2022,16,Finanzas,File Server
SRV-SWS-0090,10.172.165.61,54:D8:AA:48:C4:BB,Windows Server 2019,32,Dirección,Backup
SRV-RNW-0091,192.168.128.11,0E:4D:33:DE:75:CF,Ubuntu 22.04 LTS,16,Operaciones,File Server
SRV-WBR-0092,172.17.196.67,52:3B:EC:1A:49:3B,Debian 11,32,Dirección,File Server
SRV-RWM-0093,172.23.82.102,E4:11:0A:C7:D0:9B,CentOS 7,64,Dirección,DB Server
SRV-ABS-0094,192.168.58.60,D2:E1:6E:1B:05:DC,Windows Server 2022,32,Marketing,File Server
SRV-IZA-0095,172.16.78.194,00:49:45:E6:C4:68,Ubuntu 20.04 LTS,16,RRHH,Web Server
SRV-TCR-0096,192.168.29.15,42:C3:F6:2C:AC:99,Debian 11,2,Finanzas,Web Server
SRV-CSW-0097,192.168.72.196,0E:0D:9C:A7:A2:F2,Red Hat 8,32,Operaciones,Mail Server
SRV-PIB-0098,172.25.174.142,DC:62:DF:03:D1:97,Windows Server 2022,16,Logística,DNS
SRV-XLD-0099,192.168.69.94,AA:1C:8C:65:01:42,Ubuntu 20.04 LTS,32,RRHH,Mail Server
SRV-RFH-0100,192.168.130.62,0C:CB:F1:B4:11:49,Debian 11,4,IT,Web Server
SRV-JOQ-0101,192.168.208.40,46:D1:6D:AF:0E:2E,CentOS 7,16,RRHH,Backup
SRV-NNY-0102,172.23.100.135,0A:70:3D:D1:CB:1A,Windows Server 2019,64,Operaciones,Mail Server
SRV-FOR-0103,192.168.197.63,0A:9C:DA:CC:60:72,Windows Server 2019,8,Operaciones,DNS
SRV-ZVU-0104,192.168.238.72,02:85:95:33:36:30,Red Hat 8,8,Finanzas,Proxy
SRV-YCQ-0105,192.168.204.242,1E:AB:F1:2A:D2:42,Ubuntu 20.04 LTS,2,Marketing,DB Server
SRV-SLR-0106,10.37.76.139,B6:1C:A1:09:9E:D1,Windows Server 2022,4,Logística,Mail Server
SRV-SPC-0107,10.224.22.232,A8:AB:72:CA:3A:C8,Windows Server 2022,8,Operaciones,Mail Server
SRV-PYH-0108,172.22.224.137,82:FF:B0:89:04:D0,CentOS 7,32,Dirección,DB Server
SRV-YZJ-0109,10.211.67.167,54:30:19:05:DC:9B,Debian 11,8,Finanzas,Mail Server
SRV-VWB-0110,10.2.159.55,90:09:9D:33:61:5D,Red Hat 8,8,Marketing,Web Server
SRV-FVH-0111,192.168.11.193,26:57:41:6F:A6:F3,Windows Server 2022,32,Marketing,DB Server
SRV-DGV-0112,10.90.144.221,3E:49:26:F9:50:F9,Debian 11,16,Logística,Web Server
SRV-GJC-0113,172.31.175.246,DC:4C:1A:B6:00:7E,Ubuntu 22.04 LTS,16,Finanzas,Web Server
SRV-VCG-0114,10.145.31.116,92:48:D8:A5:8C:56,Ubuntu 20.04 LTS,64,Marketing,DB Server
SRV-AXD-0115,172.29.128.17,78:89:A9:A3:F6:76,CentOS 7,8,Marketing,DNS
SRV-PQW-0116,172.17.74.205,FA:CB:07:D6:8D:AA,Debian 11,8,Logística,Web Server
SRV-KNJ-0117,10.204.240.237,8E:CA:09:03:50:88,Red Hat 8,8,Marketing,Mail Server
SRV-KST-0118,10.15.34.120,88:0F:CA:16:7C:DF,Debian 11,32,Logística,File Server
SRV-XVT-0119,192.168.224.25,62:6D:45:64:CD:F5,Debian 11,4,Marketing,File Server
SRV-IOF-0120,192.168.108.37,FA:9C:62:C8:3F:25,Ubuntu 22.04 LTS,64,Marketing,Mail Server
SRV-SOX-0121,192.168.112.198,D6:9B:18:51:98:4A,CentOS 7,8,RRHH,Backup
SRV-OZW-0122,172.20.235.117,48:F5:F8:07:0A:49,Windows Server 2019,64,IT,DB Server
SRV-MZF-0123,10.244.203.196,4E:87:91:3D:52:02,Windows Server 2019,2,Dirección,Web Server
SRV-SJF-0124,172.30.142.63,36:DD:0A:B3:3B:36,CentOS 7,16,Dirección,Proxy
SRV-ODQ-0125,10.126.137.154,50:47:D3:29:9A:22,Windows Server 2019,64,Dirección,DB Server
SRV-YWD-0126,192.168.156.177,FA:4A:EE:9F:1F:C3,Windows Server 2022,2,IT,DNS
SRV-HVW-0127,10.217.168.137,52:A9:B5:64:8E:5D,Debian 11,64,RRHH,Mail Server
SRV-UDM-0128,172.18.1.89,0C:E3:DA:0B:D9:20,Ubuntu 22.04 LTS,8,Dirección,DB Server
SRV-HMC-0129,192.168.10.76,32:CB:59:63:5E:50,CentOS 7,16,Dirección,DNS
SRV-ZAD-0130,192.168.183.51,02:BF:39:0D:E6:4E,Ubuntu 22.04 LTS,16,Finanzas,Proxy
SRV-GVK-0131,192.168.117.0,72:2C:2E:07:48:D6,Windows Server 2022,16,Dirección,DB Server
SRV-LFS-0132,10.91.207.25,EC:06:D2:A9:26:66,Ubuntu 20.04 LTS,8,RRHH,DB Server
SRV-ULJ-0133,192.168.160.14,62:88:AA:57:7A:28,Windows Server 2019,2,Finanzas,Mail Server
SRV-LOV-0134,192.168.216.10,42:6A:2B:77:D5:C9,Ubuntu 22.04 LTS,8,Marketing,Web Server
SRV-VTG-0135,10.220.16.210,12:E7:E2:5A:EC:1B,Red Hat 8,2,IT,DB Server
SRV-RJU-0136,192.168.28.50,4A:1B:EC:AA:1B:B9,Ubuntu 22.04 LTS,2,RRHH,DNS
SRV-VBB-0137,172.18.29.110,68:54:CC:C7:CC:C5,Windows Server 2019,8,Logística,DB Server
SRV-XNX-0138,10.177.125.128,0C:5A:3E:7E:90:5C,Windows Server 2019,2,Marketing,Backup
SRV-CXF-0139,10.130.215.159,30:9A:3B:C0:BB:A5,Windows Server 2019,2,IT,File Server
SRV-NVA-0140,10.211.136.31,0A:EF:ED:0A:B6:E8,Red Hat 8,4,RRHH,File Server
SRV-TCH-0141,10.58.22.248,50:23:DD:37:63:3A,Ubuntu 22.04 LTS,8,IT,DB Server
SRV-LMR-0142,192.168.94.109,CC:35:FC:CC:14:7F,Ubuntu 22.04 LTS,4,Dirección,File Server
SRV-ADX-0143,192.168.15.58,6E:D6:3C:EE:A7:78,Windows Server 2022,8,Dirección,File Server
SRV-UNU-0144,10.101.157.235,72:22:2F:20:9A:BE,Red Hat 8,16,Logística,Web Server
SRV-XXV-0145,172.16.165.140,6A:12:9A:2E:54:4E,Windows Server 2022,4,Operaciones,Proxy
SRV-XPQ-0146,172.21.194.89,A0:15:40:75:FC:DA,CentOS 7,16,Dirección,DB Server
SRV-EUA-0147,192.168.9.234,B6:10:94:0D:DC:88,Windows Server 2022,32,RRHH,DNS
SRV-LFI-0148,192.168.152.210,CC:ED:6D:65:08:E4,Debian 11,16,Dirección,DNS
SRV-OSN-0149,10.29.232.2,12:B8:11:39:CF:6F,Red Hat 8,2,Dirección,Backup
SRV-DNU-0150,172.26.77.195,92:F5:E2:D8:1F:C6,Debian 11,32,IT,DB Server
SRV-QUC-0151,10.172.62.208,14:50:42:D3:11:A9,Ubuntu 22.04 LTS,32,Dirección,Backup
SRV-IUS-0152,192.168.226.44,DA:1F:90:CA:39:9B,Ubuntu 20.04 LTS,2,Logística,DNS
SRV-SMI-0153,172.21.155.235,24:A9:64:76:D2:DA,Ubuntu 20.04 LTS,8,IT,File Server
SRV-KQP-0154,10.11.173.214,10:2E:41:21:E2:A9,CentOS 7,64,IT,Mail Server
SRV-PSC-0155,10.77.154.147,BC:B5:88:0E:91:B5,CentOS 7,2,Operaciones,Backup
SRV-VNJ-0156,192.168.254.200,74:BD:CB:6C:FC:58,Ubuntu 22.04 LTS,4,Operaciones,DB Server
SRV-GVZ-0157,172.25.137.249,54:71:9B:6A:7A:2B,Ubuntu 22.04 LTS,8,Marketing,Proxy
SRV-WIV-0158,172.30.173.130,72:37:1F:9F:4C:26,Debian 11,32,Logística,Proxy
SRV-GGU-0159,192.168.79.28,68:B8:F0:4B:6A:F0,Ubuntu 20.04 LTS,2,Dirección,Mail Server
SRV-MZU-0160,192.168.225.75,AE:D4:57:BB:BE:AE,Windows Server 2022,16,Logística,DNS
SRV-XAG-0161,172.26.46.170,48:C6:B3:3A:4C:2F,Debian 11,32,Marketing,DB Server
SRV-OEN-0162,172.20.192.178,36:0C:98:07:5A:C7,CentOS 7,64,IT,File Server
SRV-FEB-0163,192.168.85.202,7C:8A:D6:DA:B4:1A,Windows Server 2019,16,IT,DNS
SRV-GIV-0164,172.22.209.125,B6:69:9F:34:2B:5E,Ubuntu 20.04 LTS,64,RRHH,DB Server
SRV-WBN-0165,172.20.33.22,1A:41:E5:BF:C3:A4,Ubuntu 22.04 LTS,4,Operaciones,DNS
SRV-UWN-0166,192.168.80.203,2A:5A:2E:D6:AE:7D,Ubuntu 20.04 LTS,32,Logística,Proxy
SRV-YSB-0167,10.162.108.251,A6:65:DA:41:99:D8,Red Hat 8,2,Marketing,DNS
SRV-RPI-0168,192.168.53.115,B8:1C:6A:A4:87:36,Debian 11,16,RRHH,Backup
SRV-UTN-0169,192.168.130.2,64:22:A4:7B:C5:32,Ubuntu 22.04 LTS,8,Operaciones,Backup
SRV-XOJ-0170,172.16.72.199,28:72:97:37:C3:2B,Ubuntu 20.04 LTS,2,Marketing,Proxy
SRV-HXM-0171,172.27.36.216,E2:D7:38:3E:F3:60,Windows Server 2019,64,IT,Web Server
SRV-IVA-0172,192.168.23.188,44:29:75:C9:46:E3,Windows Server 2019,16,Logística,Web Server
SRV-PYH-0173,10.154.246.138,56:0E:DB:58:5C:37,CentOS 7,4,Logística,DB Server
SRV-OQW-0174,192.168.244.9,EA:9E:27:08:B0:7F,Red Hat 8,16,RRHH,Web Server
SRV-TDQ-0175,10.173.110.73,AA:14:33:7F:7F:88,Ubuntu 20.04 LTS,16,RRHH,Web Server
SRV-GHE-0176,172.18.183.129,38:46:11:CE:37:C5,Windows Server 2022,2,RRHH,Backup
SRV-YWQ-0177,192.168.19.89,66:07:0B:B4:1E:5A,Windows Server 2019,8,Logística,Web Server
SRV-LOV-0178,192.168.156.173,1A:ED:36:74:EF:D9,Ubuntu 22.04 LTS,4,Operaciones,DNS
SRV-DKR-0179,10.213.133.89,E0:7C:A8:EA:E7:12,Red Hat 8,4,Operaciones,Mail Server
SRV-PAS-0180,172.16.111.81,6E:0F:DB:1E:09:00,Red Hat 8,4,IT,Web Server
SRV-OHR-0181,192.168.189.1,5E:7E:34:A9:4E:32,Red Hat 8,8,Marketing,Web Server
SRV-YTV-0182,172.18.7.116,48:9F:A5:96:57:F4,Red Hat 8,4,RRHH,Proxy
SRV-BSU-0183,172.20.15.23,64:38:F6:67:C2:9F,Windows Server 2022,64,Logística,Mail Server
SRV-RSW-0184,10.126.31.183,A4:2A:98:B3:A9:FB,Ubuntu 22.04 LTS,8,Operaciones,DB Server
SRV-PGL-0185,192.168.61.150,D2:6E:AC:DA:91:FA,Ubuntu 20.04 LTS,64,Operaciones,DB Server
SRV-YYT-0186,192.168.73.127,4E:F9:B6:3A:70:6E,Red Hat 8,16,Marketing,Mail Server
SRV-SDO-0187,192.168.243.191,F0:C8:BC:6C:DB:19,Ubuntu 20.04 LTS,4,Logística,Mail Server
SRV-FUX-0188,172.25.78.17,B0:E3:0E:87:04:1C,CentOS 7,32,Finanzas,Web Server
SRV-OEY-0189,192.168.32.92,BC:9E:1D:BA:58:93,Windows Server 2019,16,Finanzas,File Server
SRV-DJP-0190,10.84.62.177,30:C9:6A:E0:15:6B,Windows Server 2022,32,Dirección,Mail Server
SRV-JHQ-0191,172.24.203.47,56:6D:38:10:70:88,Debian 11,4,Dirección,Backup
SRV-IBN-0192,10.74.113.148,CA:B5:39:43:F0:DA,Windows Server 2019,4,Operaciones,Web Server
SRV-UYX-0193,172.31.117.103,8C:07:8C:C5:AE:7B,Windows Server 2019,4,RRHH,DB Server
SRV-EED-0194,172.18.150.111,2E:D6:6A:DD:8C:64,Red Hat 8,16,RRHH,DNS
SRV-SNW-0195,192.168.13.99,8A:C2:8C:3E:FC:68,Red Hat 8,16,Finanzas,Proxy
SRV-YTQ-0196,172.16.94.21,70:3C:A3:14:DE:CF,Red Hat 8,16,Logística,DB Server
SRV-GZA-0197,172.21.52.252,80:FE:54:64:89:7A,Windows Server 2019,4,Operaciones,Mail Server
SRV-KKJ-0198,172.19.150.88,60:B7:5E:98:03:3E,Red Hat 8,8,Operaciones,Web Server
SRV-LVN-0199,172.20.9.208,EE:6F:AB:4E:04:DD,CentOS 7,4,Dirección,DB Server
SRV-HJA-0200,10.112.188.140,9A:D1:E4:20:17:01,Red Hat 8,2,Logística,Backup
SRV-PCQ-0201,10.187.34.141,7E:9C:54:50:8C:79,Ubuntu 20.04 LTS,32,RRHH,File Server
SRV-CBH-0202,172.17.129.19,4E:94:CF:22:6D:69,Debian 11,32,RRHH,DNS
SRV-OOH-0203,10.41.241.194,6C:59:40:6C:4D:59,Ubuntu 22.04 LTS,4,Finanzas,Web Server
SRV-OWA-0204,192.168.12.137,3A:F5:FF:79:E5:7E,Windows Server 2022,16,Dirección,Mail Server
SRV-GGD-0205,10.47.90.125,48:33:C0:C7:75:F2,CentOS 7,64,Logística,Backup
SRV-IBQ-0206,10.61.44.91,D0:17:36:14:1C:4C,Windows Server 2019,64,RRHH,DNS
SRV-LZA-0207,172.31.114.174,04:1C:8B:DE:E5:83,Windows Server 2022,2,Dirección,DNS
SRV-GST-0208,172.20.184.202,F8:51:0B:3B:59:5B,CentOS 7,32,Operaciones,DNS
SRV-AKV-0209,192.168.89.138,9C:75:7B:C6:AB:E7,Ubuntu 20.04 LTS,32,Logística,File Server
SRV-QVB-0210,172.21.56.168,E8:C5:5E:69:91:EC,Red Hat 8,64,Operaciones,DNS
SRV-ZVT-0211,172.27.28.177,EA:0D:5A:47:BD:32,Red Hat 8,64,IT,Web Server
SRV-DGP-0212,172.26.81.170,3A:D5:B9:67:CC:72,Red Hat 8,2,RRHH,DB Server
SRV-GZR-0213,172.19.197.247,08:2A:9B:C3:15:7B,Debian 11,16,Operaciones,DB Server
SRV-DBC-0214,172.23.136.134,08:20:F9:2D:9B:A5,CentOS 7,2,Operaciones,File Server
SRV-FXK-0215,10.138.246.242,5A:06:78:E9:62:23,Windows Server 2019,2,Operaciones,File Server
SRV-DJQ-0216,172.22.97.154,9E:00:16:8B:12:14,Windows Server 2022,2,Logística,Proxy
SRV-VBW-0217,172.23.30.218,6E:42:94:33:AD:5A,CentOS 7,16,Marketing,File Server
SRV-PXX-0218,10.140.40.9,42:28:AC:63:AF:C9,Debian 11,64,Logística,Web Server
SRV-JSG-0219,172.19.123.15,E6:6E:C2:62:5F:5F,Ubuntu 22.04 LTS,16,IT,DNS
SRV-YHJ-0220,192.168.114.212,F6:11:B0:3F:6E:C6,Ubuntu 20.04 LTS,2,IT,File Server
SRV-KON-0221,192.168.134.136,B2:DB:2B:72:00:3B,Ubuntu 22.04 LTS,2,Dirección,DB Server
SRV-UFP-0222,10.69.166.34,70:D0:70:CD:8A:73,Ubuntu 22.04 LTS,2,Marketing,DNS
SRV-SHC-0223,192.168.193.232,5C:17:CC:78:99:8C,Windows Server 2022,32,IT,Backup
SRV-XZQ-0224,192.168.23.213,EA:B3:A7:5D:33:3C,Windows Server 2019,32,Operaciones,File Server
SRV-BUN-0225,10.156.155.95,C4:CE:C6:BA:B7:78,Red Hat 8,8,Operaciones,Proxy
SRV-JIS-0226,172.24.198.106,60:32:1B:C7:A3:E8,Ubuntu 20.04 LTS,64,Operaciones,DB Server
SRV-ZXN-0227,172.22.112.127,9C:B9:F3:F8:1A:B8,Windows Server 2019,64,Finanzas,DNS
SRV-JFW-0228,10.13.21.45,2E:F7:C8:6F:24:B4,Red Hat 8,8,IT,File Server
SRV-OUE-0229,192.168.112.163,74:75:8B:8B:5C:18,Debian 11,32,Logística,DNS
SRV-GFU-0230,10.62.185.119,0E:EC:7E:84:FC:96,Red Hat 8,32,Logística,File Server
SRV-WHK-0231,192.168.45.27,66:C3:7B:7C:C4:A7,Windows Server 2022,4,RRHH,Web Server
SRV-NUR-0232,192.168.175.245,3C:3C:65:AC:5F:3E,Debian 11,64,Dirección,DB Server
SRV-VLQ-0233,10.190.152.4,F0:5C:6F:8C:C7:32,Ubuntu 20.04 LTS,2,RRHH,Backup
SRV-WHQ-0234,10.29.32.89,E4:4C:13:D5:8A:5C,Ubuntu 20.04 LTS,8,RRHH,Mail Server
SRV-XCJ-0235,10.120.80.73,F4:D3:5C:66:E0:72,Red Hat 8,2,Logística,Proxy
SRV-SUT-0236,192.168.232.2,AC:89:9E:97:9C:39,Windows Server 2019,16,Operaciones,DB Server
SRV-BEV-0237,10.146.103.45,B2:C6:29:47:23:1A,Debian 11,2,Finanzas,Backup
SRV-GOP-0238,172.16.164.166,B0:67:5D:36:79:FF,Red Hat 8,64,Dirección,Web Server
SRV-QLF-0239,172.21.108.45,94:94:51:19:86:33,Ubuntu 20.04 LTS,16,IT,Mail Server
SRV-TDE-0240,172.24.56.97,F4:DB:EE:6B:7D:ED,Windows Server 2019,64,Marketing,Mail Server
SRV-PAY-0241,10.7.140.85,3A:0D:ED:80:02:A0,Ubuntu 20.04 LTS,64,Operaciones,Mail Server
SRV-RSD-0242,192.168.197.45,34:75:95:CD:EA:54,CentOS 7,32,IT,Proxy
SRV-ADN-0243,10.239.205.158,34:A4:33:FF:C6:CE,Windows Server 2019,8,Finanzas,DB Server
SRV-PCS-0244,10.70.107.109,3C:06:1E:3C:03:92,Debian 11,16,Logística,Mail Server
SRV-ERC-0245,10.64.234.158,4A:1F:F2:DD:A3:72,Windows Server 2022,64,IT,Web Server
